"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION"
"BSE Limited","0","73.79","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174582_770754_18012023122156_WEB.xml"
"FSN E-Commerce Ventures Limited","52.34","47.66","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174852_772290_18012023081215_WEB.xml"
"Tata Coffee Limited","57.48","42.52","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174853_772294_18012023081436_WEB.xml"
"Banswara Syntex Limited","56.3","43.7","0","-","31-DEC-2022","07-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173495_757479_07012023112038_WEB.xml"
"Mangalore Refinery and Petrochemicals Limited","88.58","11.42","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173523_758087_09012023104854_WEB.xml"
"Kalyani Commercials Limited","53.14","46.86","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173524_758093_09012023105314_WEB.xml"
"Ambuja Cements Limited","63.22","36.78","0","-","31-DEC-2022","07-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173491_757429_07012023101201_WEB.xml"
"Compuage Infocom Limited","42.65","57.35","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173521_758055_09012023101508_WEB.xml"
"Divi's Laboratories Limited","51.94","48.06","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173522_758059_09012023103045_WEB.xml"
"Andhra Cements Limited","68.73","31.27","0","-","31-DEC-2022","07-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173492_757453_07012023104623_WEB.xml"
"Murudeshwar Ceramics Limited","72.65","27.35","0","-","31-DEC-2022","07-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173493_757459_07012023105833_WEB.xml"
"Plastiblends India Limited","63.6","36.4","0","-","31-DEC-2022","05-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173412_756027_05012023124718_WEB.xml"
"Butterfly Gandhimathi Appliances Limited","82.78","17.22","0","-","31-DEC-2022","05-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173434_756378_05012023061523_WEB.xml"
"Huhtamaki India Limited","67.73","32.27","0","-","31-DEC-2022","05-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173435_756398_05012023063045_WEB.xml"
"Fineotex Chemical Limited","65","35","0","-","31-DEC-2022","05-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173437_756405_05012023063922_WEB.xml"
"Alankit Limited","54.86","45.14","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173463_756934_06012023035919_WEB.xml"
"Emami Limited","54.27","45.73","0","-","31-DEC-2022","04-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173396_755542_04012023021054_WEB.xml"
"Techno Electric & Engineering Company Limited","61.16","38.84","0","-","31-DEC-2022","04-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173397_755571_04012023025729_WEB.xml"
"OnMobile Global Limited","48.08","51.92","0","-","31-DEC-2022","04-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173398_755589_04012023033821_WEB.xml"
"Affle (India) Limited","59.89","40.05","0.06","-","31-DEC-2022","04-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173400_755676_04012023050019_WEB.xml"
"Integra Essentia Limited","20.81","79.19","0","-","31-DEC-2022","04-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173402_755793_04012023063253_WEB.xml"
"Vineet Laboratories Limited","35.96","64.04","0","-","31-DEC-2022","04-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173403_755795_04012023063332_WEB.xml"
"Reliance Chemotex Industries Limited","67.68","32.32","0","-","31-DEC-2022","05-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173408_755921_05012023110616_WEB.xml"
"Coal India Limited","66.13","33.87","0","-","31-DEC-2022","05-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173418_756163_05012023031150_WEB.xml"
"Inspirisys Solutions Limited","69.95","30.05","0","-","31-DEC-2022","05-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173419_756175_05012023032723_WEB.xml"
"Agro Phos India Limited","54.27","45.73","0","-","31-DEC-2022","05-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173420_756206_05012023040856_WEB.xml"
"GTPL Hathway Limited","75","25","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173445_756552_06012023120216_WEB.xml"
"Usha Martin Limited","48.3","51.7","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173446_756554_06012023120529_WEB.xml"
"Sarthak Metals Limited","69.83","30.17","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173452_756662_06012023014226_WEB.xml"
"Pansari Developers Limited","73.88","26.12","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173453_756667_06012023014355_WEB.xml"
"Varroc Engineering Limited","75","25","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173454_756752_06012023024706_WEB.xml"
"The New India Assurance Company Limited","85.44","14.56","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173462_756925_06012023035400_WEB.xml"
